Name,ID,HOMO,E_S1,f_S1,E_T1,dEST,dDM,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0.383,0,0,0,1,0,9
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0.5168,0,0,0,1,0,4
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.313,0.1586,0,0,1,0,8
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,0.3496,3.0925,0,0,1,0,87
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,0.2879,5.0308,0,0,1,0,99
2DPABz,OPS68,-0.19069,3.0227,0.0037,2.5871,0.4356,0.1528,0,0,1,0,0
DPABT,OPS69,-0.18556,3.5717,1.3009,2.8871,0.6846,6.0169,0,0,1,0,4
PhPNZ,OPS70,-0.16899,3.9776,0.035,3.3033,0.6743,0.8448,0,0,1,0,4
PhPTZ,OPS71,-0.16887,3.713,0.0109,3.1473,0.5657,0.3078,0,0,1,0,1
ph_bPTZ,OPS72,-0.17426,3.7625,0.223,3.1359,0.6266,4.6753,0,0,1,0,3
9_10_DPA,OPS73,-0.1872,3.639,0.3496,2.3196,1.3194,0,0,0,1,0,2
9_10_DAA,OPS74,-0.18384,3.6356,0.3763,2.318,1.3176,0,0,0,1,0,2
perylene,OPS75,-0.18188,3.196,0.791,2.0783,1.1177,0,0,0,1,0,56
9_10_DCA,OPS76,-0.22657,3.2747,0.3366,2.003,1.2717,0,0,0,1,0,0
3_5_diMePh_PDI,OPS77,-0.21763,2.7184,1.4659,1.7085,1.0099,0,0,0,1,0,0
Ph_NDI,OPS78,-0.25262,3.8271,0.7675,2.544,1.2831,0,0,0,1,0,0
Me_TAPB,OPS79,-0.17326,4.3833,0.0682,3.4449,0.9384,0.1445,0,0,1,0,2
Ph_TAPB,OPS80,-0.17898,3.9438,1.3806,3.285,0.6588,0.3333,0,0,1,0,2
C_152,OPS81,-0.20751,3.7816,0.7682,2.6801,1.1015,6.0354,0,0,1,0,1
C_337,OPS82,-0.20649,3.5379,1.1187,2.4312,1.1067,5.8756,0,0,1,0,23
C_498,OPS83,-0.20665,3.6474,1.017,2.5708,1.0766,6.1394,0,0,1,0,18
phenylfluorone,OPS84,-0.19595,3.3306,1.1776,1.9477,1.3829,1.398,0,0,1,0,0
resorufin,OPS85,-0.21805,3.2432,0.9273,1.911,1.3322,2.1591,0,0,1,0,0
9_fluorenone,OPS86,-0.2289,3.3452,0,2.9589,0.3863,2.4829,0,0,1,0,6
9_10_phenanthrenequinone,OPS87,-0.24277,2.5098,0,2.113,0.3968,1.2118,0,0,1,0,0
BTPM,OPS88,-0.24919,3.7116,0.0017,3.2585,0.4531,0.7389,0,0,1,0,2
2ClTX,OPS89,-0.22351,3.8152,0,3.1183,0.6969,2.7235,0,0,1,0,7
anthraquinone,OPS90,-0.25708,3.2605,0,2.885,0.3755,0,0,0,1,0,0
Me_bodipy,OPS91,-0.19705,3.0735,0.9376,1.7646,1.3089,1.0033,0,0,1,0,1
Et_bodipy,OPS92,-0.19047,2.9757,0.965,1.6996,1.2761,1.0972,0,0,1,0,1
CN_bodipy,OPS93,-0.20579,2.7287,0.9114,1.2362,1.4925,1.9303,0,0,1,0,0
TPP+,OPS94,-0.35572,3.3873,0.7073,2.6833,0.704,4.4551,0,0,1,0,1
Me_TPP+,OPS95,-0.33934,3.2455,0.7821,2.5927,0.6528,5.2009,0,0,1,0,0
OMe_TPP+,OPS96,-0.31605,3.0209,0.7688,2.4265,0.5944,6.3845,0,0,1,0,0
Acr+,OPS97,-0.37171,3.488,0.1372,2.3724,1.1156,0.6573,0,0,1,0,1
Acr+_Ph,OPS98,-0.36065,3.444,0.1943,2.34,1.104,1.2426,0,0,1,0,1
Acr+_Mes,OPS99,-0.33825,3.0716,0.0001,2.3388,0.7328,1.2019,0,0,1,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,3.2876,0,2.4683,0.8193,1.2485,0,0,1,0,0
